"ISO","threshold","confirmation_lens","admin_level","n_runs_targeted"
"TCD",0.001,"no-estimate","admin2",200
"TGO",1e-04,"district-estimate","admin2",5
"TGO",1e-04,"global-estimate","admin2",2
"TGO",1e-04,"no-estimate","admin2",52
"TGO",2e-04,"no-estimate","admin2",2
"TZA",1e-04,"district-estimate","admin1",200
"TZA",1e-04,"district-estimate","admin2",200
"TZA",2e-04,"district-estimate","admin1",188
"TZA",2e-04,"district-estimate","admin2",200
"TZA",0.001,"district-estimate","admin2",198
"TZA",1e-04,"global-estimate","admin1",200
"TZA",1e-04,"global-estimate","admin2",200
"TZA",2e-04,"global-estimate","admin1",75
"TZA",2e-04,"global-estimate","admin2",200
"TZA",0.001,"global-estimate","admin2",200
"TZA",1e-04,"no-estimate","admin1",200
"TZA",1e-04,"no-estimate","admin2",200
"TZA",2e-04,"no-estimate","admin1",200
"TZA",2e-04,"no-estimate","admin2",200
"TZA",0.001,"no-estimate","admin2",200
"UGA",1e-04,"district-estimate","admin1",200
"UGA",1e-04,"district-estimate","admin2",200
"UGA",2e-04,"district-estimate","admin1",200
"UGA",2e-04,"district-estimate","admin2",200
"UGA",0.001,"district-estimate","admin1",1
"UGA",0.001,"district-estimate","admin2",151
"UGA",1e-04,"global-estimate","admin1",200
"UGA",1e-04,"global-estimate","admin2",200
"UGA",2e-04,"global-estimate","admin1",199
"UGA",2e-04,"global-estimate","admin2",199
"UGA",0.001,"global-estimate","admin2",138
"UGA",1e-04,"no-estimate","admin1",200
"UGA",1e-04,"no-estimate","admin2",200
"UGA",2e-04,"no-estimate","admin1",200
"UGA",2e-04,"no-estimate","admin2",200
"UGA",0.001,"no-estimate","admin1",97
"UGA",0.001,"no-estimate","admin2",195
"ZMB",1e-04,"district-estimate","admin1",199
"ZMB",1e-04,"district-estimate","admin2",200
"ZMB",2e-04,"district-estimate","admin1",107
"ZMB",2e-04,"district-estimate","admin2",196
"ZMB",0.001,"district-estimate","admin2",16
"ZMB",1e-04,"global-estimate","admin1",180
"ZMB",1e-04,"global-estimate","admin2",200
"ZMB",2e-04,"global-estimate","admin1",44
"ZMB",2e-04,"global-estimate","admin2",183
"ZMB",0.001,"global-estimate","admin2",3
"ZMB",1e-04,"no-estimate","admin1",200
"ZMB",1e-04,"no-estimate","admin2",200
"ZMB",2e-04,"no-estimate","admin1",200
"ZMB",2e-04,"no-estimate","admin2",200
"ZMB",0.001,"no-estimate","admin2",109
"ZWE",1e-04,"district-estimate","admin1",13
"ZWE",1e-04,"district-estimate","admin2",198
"ZWE",2e-04,"district-estimate","admin2",146
"ZWE",1e-04,"global-estimate","admin2",200
"ZWE",2e-04,"global-estimate","admin2",92
"ZWE",1e-04,"no-estimate","admin1",200
"ZWE",1e-04,"no-estimate","admin2",200
"ZWE",2e-04,"no-estimate","admin2",200
