"ISO","confirmation_lens","admin_level","threshold","n_total_targets_lb","n_total_targets_median","n_total_targets_ub","n_unique_targets_lb","n_unique_targets_median","n_unique_targets_ub"
"NGA","no-estimate","admin2",2e-04,107,137,162,42,57,68
"NGA","no-estimate","admin2",0.001,16,30,43,8,14,19
"RWA","district-estimate","admin2",1e-04,1,2,3,1,1,2
"RWA","global-estimate","admin2",1e-04,1,1,2,1,1,1
"RWA","no-estimate","admin2",1e-04,4,4,4,2,2,2
"RWA","no-estimate","admin2",2e-04,1,1,1,1,1,1
"SLE","district-estimate","admin1",1e-04,9,11,11,3,4,4
"SLE","district-estimate","admin1",2e-04,7,8,10,3,3,4
"SLE","district-estimate","admin1",0.001,2,2,4,1,1,2
"SLE","district-estimate","admin2",1e-04,29,32,33,11,11,12
"SLE","district-estimate","admin2",2e-04,23,27,29,9,10,11
"SLE","district-estimate","admin2",0.001,4,7,10,2,3,5
"SLE","global-estimate","admin1",1e-04,9,11,11,3,4,4
"SLE","global-estimate","admin1",2e-04,5,8,8,2,3,3
"SLE","global-estimate","admin1",0.001,1,2,3,1,1,1
"SLE","global-estimate","admin2",1e-04,29,30,33,11,11,11
"SLE","global-estimate","admin2",2e-04,12,20,26,5,8,11
"SLE","global-estimate","admin2",0.001,4,4,8,2,2,4
"SLE","no-estimate","admin1",1e-04,11,12,12,4,4,4
"SLE","no-estimate","admin1",2e-04,10,11,11,4,4,4
"SLE","no-estimate","admin1",0.001,4,5,6,2,2,3
"SLE","no-estimate","admin2",1e-04,34,36,37,12,13,13
"SLE","no-estimate","admin2",2e-04,30,32,33,11,11,12
"SLE","no-estimate","admin2",0.001,11,14,16,5,6,8
"SOM","district-estimate","admin1",1e-04,33,36,40,12,13,14
"SOM","district-estimate","admin1",2e-04,27,30,34,10,11,12
"SOM","district-estimate","admin1",0.001,3,7,15,2,3,7
"SOM","district-estimate","admin2",1e-04,87,95,103,31,34,37
"SOM","district-estimate","admin2",2e-04,72,80,94,27,30,34
"SOM","district-estimate","admin2",0.001,20,28,39,9,13,17
"SOM","global-estimate","admin1",1e-04,32,35,38,12,13,14
"SOM","global-estimate","admin1",2e-04,21,27,31,9,11,11
"SOM","global-estimate","admin1",0.001,2,6,12,1,3,6
"SOM","global-estimate","admin2",1e-04,84,93,102,30,33,36
