"ISO","threshold","confirmation_lens","admin_level","NAME","mean_observed_ir","mean_clinical_ir","eff"
"SSD",0.001,"no-estimate","admin2","Tonga",0.00093117470793068,0.00093117470793068,1.61999631701822
"TCD",1e-04,"district-estimate","admin1","Barh el Ghazel",2.44098932140944e-05,4.47577397081563e-05,0.38499729377487
"TCD",1e-04,"district-estimate","admin1","Batha",6.88622108305889e-05,0.000134698157924842,0.510449498552319
"TCD",1e-04,"district-estimate","admin1","Chari-Baguirmi",0.00402928269058538,0.00785377303973559,15.3024539235795
"TCD",1e-04,"district-estimate","admin1","Guéra",0.000307954943442649,0.000588340118805261,1.12000697034336
"TCD",1e-04,"district-estimate","admin1","Hadjer-Lamis",0.000622276519944829,0.00122268177621936,2.37633038291708
"TCD",1e-04,"district-estimate","admin1","Kanem",6.02234229736911e-05,0.000116728337320782,0.418827056735021
"TCD",1e-04,"district-estimate","admin1","Lac",0.000418361495023695,0.000822837990691709,1.29221948374179
"TCD",1e-04,"district-estimate","admin1","Logone Occidental",5.78286801360404e-05,0.000112623467726758,0.693129782354136
"TCD",1e-04,"district-estimate","admin1","Mayo-Kebbi Est",0.000855103627419097,0.00172175946728505,3.21175372456371
"TCD",1e-04,"district-estimate","admin1","Mayo-Kebbi Ouest",0.000573204395394509,0.00109507587196565,2.20428911969226
"TCD",1e-04,"district-estimate","admin1","Salamat",0.00013421859531981,0.000261086287912709,0.476719808995208
"TCD",1e-04,"district-estimate","admin1","Tandjilé",0.00036780541693341,0.000733513124238753,1.09514555392148
"TCD",1e-04,"district-estimate","admin1","Ville de N'Djamena",0.000174241504629877,0.000351921580716983,0.704411066675344
"TCD",2e-04,"district-estimate","admin1","Chari-Baguirmi",0.00402928269058538,0.00785377303973559,15.281285113561
"TCD",2e-04,"district-estimate","admin1","Guéra",0.000307954943442649,0.000588340118805261,1.15390898251502
"TCD",2e-04,"district-estimate","admin1","Hadjer-Lamis",0.000622276519944829,0.00122268177621936,2.38605087573855
"TCD",2e-04,"district-estimate","admin1","Lac",0.000418361495023695,0.000822837990691709,1.40422812988605
"TCD",2e-04,"district-estimate","admin1","Logone Occidental",5.78286801360404e-05,0.000112623467726758,0.803327009371008
"TCD",2e-04,"district-estimate","admin1","Mayo-Kebbi Est",0.000855103627419097,0.00172175946728505,3.21072010388511
"TCD",2e-04,"district-estimate","admin1","Mayo-Kebbi Ouest",0.000573204395394509,0.00109507587196565,2.17580187022822
"TCD",2e-04,"district-estimate","admin1","Salamat",0.00013421859531981,0.000261086287912709,0.978923704642751
"TCD",2e-04,"district-estimate","admin1","Tandjilé",0.00036780541693341,0.000733513124238753,1.12795212195381
"TCD",2e-04,"district-estimate","admin1","Ville de N'Djamena",0.000174241504629877,0.000351921580716983,0.87533324216858
"TCD",0.001,"district-estimate","admin1","Chari-Baguirmi",0.00402928269058538,0.00785377303973559,15.2440799665475
"TCD",0.001,"district-estimate","admin1","Hadjer-Lamis",0.000622276519944829,0.00122268177621936,4.0200797184767
"TCD",0.001,"district-estimate","admin1","Lac",0.000418361495023695,0.000822837990691709,3.81299823599119
"TCD",0.001,"district-estimate","admin1","Mayo-Kebbi Est",0.000855103627419097,0.00172175946728505,4.20873544556056
"TCD",0.001,"district-estimate","admin1","Mayo-Kebbi Ouest",0.000573204395394509,0.00109507587196565,3.87850634721999
"TCD",0.001,"district-estimate","admin1","Tandjilé",0.00036780541693341,0.000733513124238753,3.70997573262616
"TCD",1e-04,"district-estimate","admin2","Aboudeïa",0.000106608929324607,0.000202906188251172,0.579555124819862
"TCD",1e-04,"district-estimate","admin2","Baguirmi",8.83851193453067e-05,0.000167723291692019,0.72968118971746
"TCD",1e-04,"district-estimate","admin2","Barh Azoum",0.000184434367726391,0.000358099200632185,0.678457762334012
"TCD",1e-04,"district-estimate","admin2","Barh El Gazel",2.44098932140944e-05,4.47965024443413e-05,0.376430294252984
"TCD",1e-04,"district-estimate","admin2","Barh Signaka",0.000552014950559506,0.00104021942664732,1.95897291794407
"TCD",1e-04,"district-estimate","admin2","Batha Oues",0.00016378898692046,0.000321561248021441,0.544791289270345
"TCD",1e-04,"district-estimate","admin2","Bitkine",0.000344904572688177,0.000674184664472136,1.15023152315694
"TCD",1e-04,"district-estimate","admin2","Béré",0.000189989907055426,0.000384265360931998,0.753690138771444
"TCD",1e-04,"district-estimate","admin2","Dababa",0.000106772086958353,0.000202636700430942,0.586043431642713
"TCD",1e-04,"district-estimate","admin2","Dagana",0.0013544180685491,0.00270384350330744,5.71214159048454
"TCD",1e-04,"district-estimate","admin2","Djourf Al Ahmar",7.4799939969145e-05,0.000144974307279087,0.94957484866577
"TCD",1e-04,"district-estimate","admin2","Haraze Al Biar",0.000489145025713552,0.000939361152623771,1.71041851701907
"TCD",1e-04,"district-estimate","admin2","Kabbia",0.000659809755499465,0.00126402840052139,2.24445617002936
"TCD",1e-04,"district-estimate","admin2","Kanem",8.18621442518725e-05,0.000160036135390133,0.464025610438911
"TCD",1e-04,"district-estimate","admin2","Lac Léré",0.000851125336989314,0.00161360171645999,3.08177133638932
"TCD",1e-04,"district-estimate","admin2","Loug Chari",5.34942165793622e-05,0.000109521163775282,0.581485709223389
"TCD",1e-04,"district-estimate","admin2","Mamdi",0.000599841279288403,0.0011576544424971,1.70480875608645
"TCD",1e-04,"district-estimate","admin2","Mangalmé",0.000142173180973964,0.000271381377994659,0.507948900466992
"TCD",1e-04,"district-estimate","admin2","Mayo-Boneye",0.00123612613338447,0.00245970973316199,4.22796244140297
"TCD",1e-04,"district-estimate","admin2","Mayo-Dallah",0.00037167218405483,0.000705042810048764,1.22190459574514
"TCD",1e-04,"district-estimate","admin2","Mont Illi",0.000525355256621245,0.000997553802641735,1.56707748956328
"TCD",1e-04,"district-estimate","admin2","N'Djamena",0.00511253768644793,0.00995091927651258,12.5672624626137
"TCD",1e-04,"district-estimate","admin2","Ngourkosso",0.00025848430477211,0.000510774544979919,2.88244427739604
"TCD",1e-04,"district-estimate","admin2","Tandjilé Est",0.00065507371452018,0.00129604127415627,2.2776346018391
"TCD",1e-04,"district-estimate","admin2","Tandjilé Ouest",0.000174693782761903,0.000327804352398894,2.28122347558267
"TCD",1e-04,"district-estimate","admin2","Wayi",0.000220408129468882,0.000401419908328217,0.662124524556581
"TCD",2e-04,"district-estimate","admin2","Aboudeïa",0.000106608929324607,0.000202906188251172,0.895299340669451
"TCD",2e-04,"district-estimate","admin2","Baguirmi",8.83851193453067e-05,0.000167723291692019,0.958519078641972
"TCD",2e-04,"district-estimate","admin2","Barh Azoum",0.000184434367726391,0.000358099200632185,0.885641059473456
"TCD",2e-04,"district-estimate","admin2","Barh Signaka",0.000552014950559506,0.00104021942664732,1.96838844198817
"TCD",2e-04,"district-estimate","admin2","Batha Oues",0.00016378898692046,0.000321561248021441,1.24473126893697
"TCD",2e-04,"district-estimate","admin2","Bitkine",0.000344904572688177,0.000674184664472136,1.42342979432188
"TCD",2e-04,"district-estimate","admin2","Béré",0.000189989907055426,0.000384265360931998,1.28454333385192
"TCD",2e-04,"district-estimate","admin2","Dababa",0.000106772086958353,0.000202636700430942,0.774298401152372
"TCD",2e-04,"district-estimate","admin2","Dagana",0.0013544180685491,0.00270384350330744,6.41239426816015
"TCD",2e-04,"district-estimate","admin2","Djourf Al Ahmar",7.4799939969145e-05,0.000144974307279087,1.08538937397322
"TCD",2e-04,"district-estimate","admin2","Haraze Al Biar",0.000489145025713552,0.000939361152623771,1.91382952551636
"TCD",2e-04,"district-estimate","admin2","Kabbia",0.000659809755499465,0.00126402840052139,2.23060187757592
"TCD",2e-04,"district-estimate","admin2","Lac Léré",0.000851125336989314,0.00161360171645999,3.081534246258
"TCD",2e-04,"district-estimate","admin2","Loug Chari",5.34942165793622e-05,0.000109521163775282,0.797025899974269
"TCD",2e-04,"district-estimate","admin2","Mamdi",0.000599841279288403,0.0011576544424971,1.76131813540158
"TCD",2e-04,"district-estimate","admin2","Mangalmé",0.000142173180973964,0.000271381377994659,0.83076995600769
"TCD",2e-04,"district-estimate","admin2","Mayo-Boneye",0.00123612613338447,0.00245970973316199,4.22775844798868
"TCD",2e-04,"district-estimate","admin2","Mayo-Dallah",0.00037167218405483,0.000705042810048764,1.36881603114713
"TCD",2e-04,"district-estimate","admin2","Mont Illi",0.000525355256621245,0.000997553802641735,1.73976079593053
