"ISO","threshold","confirmation_lens","admin_level","ocv_cost_lb","ocv_cost_median","ocv_cost_ub"
"GHA",1e-04,"district-estimate","admin2",91447978.6200457,99674556.5994183,107388433.138234
"GHA",1e-04,"global-estimate","admin2",82641524.7276337,88746365.8022892,98768382.5714072
"GHA",1e-04,"no-estimate","admin2",124109776.026672,127319876.711701,130192138.327859
"GHA",2e-04,"district-estimate","admin2",51981499.3274696,66389481.7486846,76478127.3124325
"GHA",2e-04,"global-estimate","admin2",23704015.285985,45330884.0661523,64069558.51567
"GHA",2e-04,"no-estimate","admin2",96196646.4357096,100552129.933702,105144269.474431
"GHA",0.001,"district-estimate","admin2",3817004.22467118,6745862.3161837,10955746.2407867
"GHA",0.001,"global-estimate","admin2",3466671.22481596,4265937.90005271,4805736.67346932
"GHA",0.001,"no-estimate","admin2",20595418.9953184,21321751.4486185,22008595.2668566
"GIN",1e-04,"district-estimate","admin1",23298284.0337097,38128661.5764561,51512097.37462
"GIN",1e-04,"global-estimate","admin1",19137278.2557096,34047023.0060817,43101746.382951
"GIN",1e-04,"no-estimate","admin1",42497289.9333856,50694768.7580455,55667853.5645404
"GIN",2e-04,"district-estimate","admin1",12254450.9282616,26469493.2963477,35455934.7478093
"GIN",2e-04,"global-estimate","admin1",5888470.68166117,12413809.74413,28199607.8724075
"GIN",2e-04,"no-estimate","admin1",26469493.2963477,34047023.0060817,46754641.2925975
"GIN",0.001,"district-estimate","admin1",0,0,0
"GIN",0.001,"global-estimate","admin1",0,0,0
"GIN",0.001,"no-estimate","admin1",0,0,0
"GIN",1e-04,"district-estimate","admin2",26904298.3705886,34178766.4865872,37051657.1657156
"GIN",1e-04,"global-estimate","admin2",21872898.1327819,33190062.9467039,36799014.1933161
"GIN",1e-04,"no-estimate","admin2",36738962.0071639,40881643.8997742,44663593.6111548
"GIN",2e-04,"district-estimate","admin2",13036827.145739,23984998.2486819,32127579.5812219
"GIN",2e-04,"global-estimate","admin2",783402.938350368,17958032.4246694,29962257.5828246
"GIN",2e-04,"no-estimate","admin2",30185456.949433,34563398.5052256,36849820.1382912
"GIN",0.001,"district-estimate","admin2",0,0,0
"GIN",0.001,"global-estimate","admin2",0,0,0
"GIN",0.001,"no-estimate","admin2",0,0,3009643.895338
"GNB",1e-04,"district-estimate","admin1",4813539.35048335,6930435.56707817,9144873.15457382
"GNB",1e-04,"global-estimate","admin1",4813539.35048335,5320641.80773316,7856952.81346254
"GNB",1e-04,"no-estimate","admin1",9522500.61594187,10596914.3093822,11356954.7712764
"GNB",2e-04,"district-estimate","admin1",1445825.55120519,4822011.96495553,5005369.50221274
"GNB",2e-04,"global-estimate","admin1",1445825.55120519,3469912.1755614,5005369.50221274
"GNB",2e-04,"no-estimate","admin1",6316152.3162013,7028600.81396699,8586516.9903329
"GNB",0.001,"district-estimate","admin1",0,147060.417522407,223915.890463102
"GNB",0.001,"global-estimate","admin1",0,220257.555914104,223915.890463102
"GNB",0.001,"no-estimate","admin1",712719.826285809,807574.911690986,1520821.60727255
"GNB",1e-04,"district-estimate","admin2",5004999.69963485,6997517.88022103,7737231.9379252
"GNB",1e-04,"global-estimate","admin2",4490546.99723099,5539928.37249261,7849048.26319199
"GNB",1e-04,"no-estimate","admin2",7891903.28996042,8447217.87654484,9195362.88421399
"GNB",2e-04,"district-estimate","admin2",1331620.68841101,4320552.61597632,5179046.84220491
"GNB",2e-04,"global-estimate","admin2",568614.590753368,2427063.96972464,4952143.49933691
"GNB",2e-04,"no-estimate","admin2",6462650.92677282,7205841.37681941,7917876.49439406
"GNB",0.001,"district-estimate","admin2",63051.7319781324,389259.595654312,458210.664325629
"GNB",0.001,"global-estimate","admin2",63051.7319781324,404950.128689043,427341.463622898
"GNB",0.001,"no-estimate","admin2",572586.932012102,572586.932012102,741235.878865534
"KEN",1e-04,"district-estimate","admin1",67459759.6515498,92401025.8773157,111477050.076781
"KEN",1e-04,"global-estimate","admin1",62441026.4970779,81378557.0874246,99929782.101535
"KEN",1e-04,"no-estimate","admin1",118191121.152304,136035098.750089,157575681.854335
"KEN",2e-04,"district-estimate","admin1",36664974.8376937,57626446.5755036,76670465.1142454
"KEN",2e-04,"global-estimate","admin1",29869313.6615667,48585263.5312709,67670039.3839421
"KEN",2e-04,"no-estimate","admin1",74608620.5921979,95086332.0817627,110099625.613702
"KEN",0.001,"district-estimate","admin1",0,0,17977471.5352583
"KEN",0.001,"global-estimate","admin1",0,0,5669955.79709796
"KEN",0.001,"no-estimate","admin1",9944615.9656388,21861295.1666223,30287080.2793004
"KEN",1e-04,"district-estimate","admin2",49447803.5773082,58285623.3453385,65555632.4594549
"KEN",1e-04,"global-estimate","admin2",41057464.2763535,49441413.2230562,59502844.3974277
"KEN",1e-04,"no-estimate","admin2",86433171.7030294,96083480.5389729,105454625.927631
"KEN",2e-04,"district-estimate","admin2",30197366.2428104,36373623.9141046,46310085.1852998
"KEN",2e-04,"global-estimate","admin2",19927076.564986,29280391.4189431,38988944.3350403
