"ISO","threshold","confirmation_lens","admin_level","ocv_costeff_lb","ocv_costeff_median","ocv_costeff_ub"
"KEN",0.001,"no-estimate","admin1",1083.14251320835,1515.27572982101,2523.39859718232
"KEN",1e-04,"district-estimate","admin2",1033.82238948401,1424.6848377978,2346.16459604462
"KEN",1e-04,"global-estimate","admin2",986.581590982634,1234.3197752295,1997.06549406938
"KEN",1e-04,"no-estimate","admin2",1578.81627355208,2204.29176667003,3802.70882442166
"KEN",2e-04,"district-estimate","admin2",719.492301522307,996.987408497409,1665.6295688201
"KEN",2e-04,"global-estimate","admin2",384.952731861913,775.532832751469,1452.65292309637
"KEN",2e-04,"no-estimate","admin2",1043.68248670604,1387.02733249465,2314.71960147842
"KEN",0.001,"district-estimate","admin2",239.577035960899,403.36783514546,893.589235512005
"KEN",0.001,"global-estimate","admin2",266.401782294928,370.043133496532,1009.54322625745
"KEN",0.001,"no-estimate","admin2",447.492113194341,621.233494016439,1197.9488645312
"LBR",1e-04,"district-estimate","admin1",1034.93035425083,2884.48343272904,5638.97399687942
"LBR",1e-04,"global-estimate","admin1",1034.93035425083,2625.81385908649,5669.50387610337
"LBR",1e-04,"no-estimate","admin1",1034.93035425083,3679.03128275171,7624.03371049128
"LBR",2e-04,"district-estimate","admin1",1034.87753435487,2392.3443904857,5370.71025567007
"LBR",2e-04,"global-estimate","admin1",670.538659874126,1810.99786047622,20577.1754866857
"LBR",2e-04,"no-estimate","admin1",1034.93035425083,2687.20446366214,5640.52542725294
"LBR",0.001,"district-estimate","admin1",743.304791136851,1231.96016130264,1307.26667746848
"LBR",0.001,"global-estimate","admin1",649.183942037371,898.919888177738,1026.81858343201
"LBR",0.001,"no-estimate","admin1",989.54064173375,1631.90244428323,4415.34221535053
"LBR",1e-04,"district-estimate","admin2",651.886861046512,1792.49337612794,3925.57413712832
"LBR",1e-04,"global-estimate","admin2",654.967918418109,1685.69691087514,3630.44598247734
"LBR",1e-04,"no-estimate","admin2",708.931804552721,2192.28679817557,5151.47318215393
"LBR",2e-04,"district-estimate","admin2",611.558539242712,1200.14340393078,3241.91433029897
"LBR",2e-04,"global-estimate","admin2",224.207577872835,941.268674787726,4743.24020422852
"LBR",2e-04,"no-estimate","admin2",654.967918418109,1779.34609414652,4135.35958547141
"LBR",0.001,"district-estimate","admin2",221.619543287244,831.310557595827,1285.75681174323
"LBR",0.001,"global-estimate","admin2",186.495472889677,792.260252560718,1447.16255073016
"LBR",0.001,"no-estimate","admin2",335.864556567702,1088.81870224521,2886.9964108005
"MDG",1e-04,"district-estimate","admin1",NA,NA,NA
"MDG",1e-04,"global-estimate","admin1",NA,NA,NA
"MDG",1e-04,"no-estimate","admin1",NA,NA,NA
"MDG",2e-04,"district-estimate","admin1",NA,NA,NA
"MDG",2e-04,"global-estimate","admin1",NA,NA,NA
"MDG",2e-04,"no-estimate","admin1",NA,NA,NA
"MDG",0.001,"district-estimate","admin1",NA,NA,NA
"MDG",0.001,"global-estimate","admin1",NA,NA,NA
"MDG",0.001,"no-estimate","admin1",NA,NA,NA
"MDG",1e-04,"district-estimate","admin2",9924.9577962643,10674.6627727903,11546.8837307002
"MDG",1e-04,"global-estimate","admin2",NA,NA,NA
"MDG",1e-04,"no-estimate","admin2",10279.3787783748,18715.4011376051,37952.388171999
"MDG",2e-04,"district-estimate","admin2",NA,NA,NA
"MDG",2e-04,"global-estimate","admin2",NA,NA,NA
"MDG",2e-04,"no-estimate","admin2",NA,NA,NA
"MDG",0.001,"district-estimate","admin2",NA,NA,NA
"MDG",0.001,"global-estimate","admin2",NA,NA,NA
"MDG",0.001,"no-estimate","admin2",NA,NA,NA
