"scenario","set_name","vaccine","gavi_support","activity_type","country_code","country","year","age_first","age_last","age_range_verbatim","target","coverage","gender"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","IRQ","Iraq",2040,1,100,"default age and gender",59241196,0.0556384865344593,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2025,1,100,"default age and gender",58391995,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2028,1,100,"default age and gender",62228274,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2031,1,100,"default age and gender",66137107,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2034,1,100,"default age and gender",70044192,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2037,1,100,"default age and gender",73941032,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","KEN","Kenya",2040,1,100,"default age and gender",77786293,0.0770136648824115,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2025,1,100,"default age and gender",5524152,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2028,1,100,"default age and gender",5920830,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2031,1,100,"default age and gender",6332068,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2034,1,100,"default age and gender",6754756,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2037,1,100,"default age and gender",7187498,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","LBR","Liberia",2040,1,100,"default age and gender",7628365,0.0361444133055281,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2025,1,100,"default age and gender",30572472,0,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2028,1,100,"default age and gender",32969323,0,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2031,1,100,"default age and gender",35455775,0,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2034,1,100,"default age and gender",38019128,0,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2037,1,100,"default age and gender",40649732,0,"both"
"cholera-campaign-default","Cholera: Cholera, with, campaign","Cholera","total","campaign","MDG","Madagascar",2040,1,100,"default age and gender",43346763,0,"both"
