scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage,gender,proportion_risk
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2025,1,100,default age groups,5494088.5,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2028,1,100,default age groups,5858366.5,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2031,1,100,default age groups,6235776,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2034,1,100,default age groups,6621846,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2037,1,100,default age groups,7013785,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,LBR,Liberia,2040,1,100,default age groups,7409019,0.03614441330552806142,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2025,1,100,default age groups,30889599,0.849999999999999977796,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2028,1,100,default age groups,33122145.5,0.849999999999999977796,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2031,1,100,default age groups,35415209,0.849999999999999977796,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2034,1,100,default age groups,37749808,0.849999999999999977796,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2037,1,100,default age groups,40109870.5,0.849999999999999977796,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MDG,Madagascar,2040,1,100,default age groups,42488709.5,0.849999999999999866773,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MLI,Mali,2025,1,100,default age groups,23816378.5,0.04671856422954739213,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MLI,Mali,2028,1,100,default age groups,26085077.5,0.04671856422954739213,both,<NA>
cholera-ocv1-default,"Cholera:OCV1,campaign,with:default",OCV1,total,campaign,MLI,Mali,2031,1,100,default age groups,28495502.5,0.04671856422954739213,both,<NA>
